"id","name","unit","fill_value","display_name","standard_name","parameter_precision","parameter_function_id","parameter_function_map","data_product_identifier","description","data_level","data_product_type"
"74","sample_type","1","empty","Sample Type From Instrument",NULL,"0",NULL,NULL,NULL,"Sample type from instrument, which in this case should always be pressure.",NULL,NULL
"77","timestamp","1","empty","Timestamp",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"93","date_time_string","1","empty","Date and Time String",NULL,"0",NULL,NULL,NULL,"A date and time string produced for each sample record.",NULL,NULL
"94","absolute_pressure","psi","-9999999","Seafloor Pressure",NULL,"4",NULL,NULL,"SFLPRES_L0","Seafloor Pressure is a measurement of the force on the seafloor exerted by the weight of the overlying seawater column plus the weight of the atmosphere (hydrostatic plus atmospheric). This specific instance is the Level 0 unprocessed data product. Units: psi","0","Unprocessed Data"
"96","ptemp_frequency","Hz","-9999999","Pressure Temperature Frequency",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"97","n_avg_band","1","-9999","Number of Averaging Bands",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"98","ass_total_variance","m^2","-9999999","Auto-Spectrum Statistics - Total Variance",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"99","ass_total_energy","J m-1","-9999999","Auto-Spectrum Statistics - Total Energy",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"100","ass_sig_wave_period","s","-9999999","Auto-Spectrum Statistics - Significant Wave Period",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"101","ass_sig_wave_height","m","-9999999","Auto-Spectrum Statistics - Significant Wave Height",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"102","tss_wave_integration_time","s","-9999","Time Series Statistics - Wave Burst Duration",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"103","tss_number_of_waves","1","-9999","Time Series Statistics - Number of Waves",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"104","tss_total_variance","m^2","-9999999","Time Series Statistics - Total Variance",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"105","tss_total_energy","J m-2","-9999999","Time Series Statistics - Total Energy",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"106","tss_avg_wave_height","m","-9999999","Time Series Statistics - Average Wave Height",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"107","tss_avg_wave_period","s","-9999999","Time Series Statistics - Average Wave Period",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"108","tss_max_wave_height","m","-9999999","Time Series Statistics - Maximum Wave Height",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"109","tss_sig_wave_height","m","-9999999","Time Series Statistics - Significant Wave Height",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"110","tss_sig_wave_period","s","-9999999","Time Series Statistics - Significant Wave Period",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"111","tss_10_wave_height","m","-9999999","Time Series Statistics - Average Height of Highest 10% of Waves",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"112","tss_1_wave_height","m","-9999999","Time Series Statistics - Average Height of Highest 1% of Waves",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"113","firmware_version","1","empty","Firmware Version",NULL,"0",NULL,NULL,NULL,"Firmware Version",NULL,NULL
"115","user_info","1","empty","User Info",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"116","quartz_pressure_sensor_serial_number","1","empty","Quartz Pressure Sensor Serial Number",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"117","pressure_sensor_range","psi","0","Pressure Sensor Range",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"118","external_temperature_sensor","1","-9","Use External Temperature",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"119","external_conductivity_sensor","1","-9","Use External Conductivity",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"120","operational_current","mA","-9999999","Operational Current",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"121","battery_voltage_main","V","-9999999","Main Battery Voltage",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"122","battery_voltage_lithium","V","-9999999","Lithium Battery Voltage",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"123","last_sample_absolute_press","psi","-9999999","Last Measured Absolute Pressure",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"124","last_sample_temp","deg_C","-9999999","Last Measured Temperature",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"125","last_sample_saln","1","-9999999","Last Measured Salinity",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"126","tide_measurement_interval","min","-9999","Tide Sampling Interval",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"127","tide_measurement_duration","s","-9999","Tide Sampling Duration",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"128","wave_samples_between_tide_measurements","1","-9999","Sample Waves Every N Tide Samples",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"129","wave_samples_per_burst","1","-9999","Wave Samples Per Burst",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"130","wave_samples_scans_per_second","1","-9999999","Scans Per Second",NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL
"131","wave_samples_duration","s","-9999999","Wave Sampling Duration",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"132","logging_start_time","1","empty","Logging Start Time",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"133","logging_stop_time","1","empty","Logging Stop Time",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"134","tide_samples_per_day","count","-9999","Number of Tide Samples Per Day",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"135","wave_bursts_per_day","count","-9999","Number of Wave Bursts Per Day",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"136","memory_endurance","days","-9999999","Expected Memory Endurance",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"137","nominal_alkaline_battery_endurance","days","-9999999","Expected Battery Endurance",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"138","total_recorded_tide_measurements","count","-9999999","Total Recorded Tide Measurements",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"139","total_recorded_wave_bursts","count","-9999999","Total Recorded Wave Bursts",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"140","tide_measurements_since_last_start","count","-9999999","Tide Measurements Since Last Start",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"141","wave_bursts_since_last_start","count","-9999999","Wave Bursts Since Last Start",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"142","tx_tide_samples","1","-9","Transmit Tide Records in Realtime",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"143","tx_wave_bursts","1","-9","Transmit Wave Records in Realtime",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"144","tx_wave_stats","1","-9","Transmit Wave Statistics in Realtime",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"145","num_wave_samples_per_burst_for_wave_statistics","count","-9999","Number of Wave Samples Per Burst",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"146","use_measured_temp_and_cond_for_density_calc","1","-9","Use Measure Temperature and Conductivity for Density Calculation",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"147","avg_water_temp_above_pressure_sensor","deg_C","-9999999","Average Temperature Above Instrument",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"148","avg_salinity_above_pressure_sensor","1","-9999999","Average Salinity Above Instrument",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"149","pressure_sensor_height_from_bottom","m","-9999999","Pressure Sensor Height Above Bottom",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"150","num_spectral_estimates_for_each_frequency_band","count","-9999","Number of Spectral Estimates to Average",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"151","min_allowable_attenuation","1","-9999999","Minimum Allowable Attenuation",NULL,"4",NULL,NULL,NULL,NULL,NULL,NULL
"152","min_period_in_auto_spectrum","s","-9999999","Minimum Allowable Period",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"153","max_period_in_auto_spectrum","s","-9999999","Maximum Allowable Period",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"154","hanning_window_cutoff","1","-9999999","Hanning Window Cutoff",NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL
"155","show_progress_messages","1","-9","Show Progress Messages",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"156","device_status","1","empty","Device Status",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"157","logging_status","1","-9","Logging Status",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"158","calibration_date_pressure","1","empty","Pressure Calibration Date",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"159","press_coeff_pu0","1","-9999999","Pressure Coefficient U0",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"160","press_coeff_py1","1","-9999999","Pressure Coefficient Y1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"161","press_coeff_py2","1","-9999999","Pressure Coefficient Y2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"162","press_coeff_py3","1","-9999999","Pressure Coefficient Y3",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"163","press_coeff_pc1","1","-9999999","Pressure Coefficient C1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"164","press_coeff_pc2","1","-9999999","Pressure Coefficient C2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"165","press_coeff_pc3","1","-9999999","Pressure Coefficient C3",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"166","press_coeff_pd1","1","-9999999","Pressure Coefficient D1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"167","press_coeff_pd2","1","-9999999","Pressure Coefficient D2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"168","press_coeff_pt1","1","-9999999","Pressure Coefficient T1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"169","press_coeff_pt2","1","-9999999","Pressure Coefficient T2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"170","press_coeff_pt3","1","-9999999","Pressure Coefficient T3",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"171","press_coeff_pt4","1","-9999999","Pressure Coefficient T4",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"172","press_coeff_m","1","-9999999","Pressure Coefficient M",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"173","press_coeff_b","1","-9999999","Pressure Coefficient B",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"174","press_coeff_poffset","psi","-9999999","Pressure Coefficient Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"175","calibration_date_temperature","1","empty","Temperature Calibration Date",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"176","temp_coeff_ta0","1","-9999999","Temperature Coefficient A0",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"177","temp_coeff_ta1","1","-9999999","Temperature Coefficient A1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"178","temp_coeff_ta2","1","-9999999","Temperature Coefficient A2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"179","temp_coeff_ta3","1","-9999999","Temperature Coefficient A3",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"180","calibration_date_conductivity","1","empty","Conductivity Calibration Date",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"181","cond_coeff_cg","1","-9999999","Conductivity Coefficient G",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"182","cond_coeff_ch","1","-9999999","Conductivity Coefficient H",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"183","cond_coeff_ci","1","-9999999","Conductivity Coefficient I",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"184","cond_coeff_cj","1","-9999999","Conductivity Coefficient J",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"185","cond_coeff_ctcor","1","-9999999","Conductivity Coefficient TCor",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"186","cond_coeff_cpcor","1","-9999999","Conductivity Coefficient PCor",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"187","cond_coeff_cslope","1","-9999999","Conductivity Coefficient Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"188","par","counts","0","PAR Measurement",NULL,"0",NULL,NULL,"OPTPARW_L0","Photosynthetically Active Radiation (PAR) unprocessed sensor reading. Units: counts","0","Unprocessed Data"
"192","par_counts_output","umol photons m-2 s-1","-99999999","Photosynthetically Active Radiation","downwelling_photosynthetic_photon_flux_in_sea_water","4","83","{""a1"": ""CC_a1"", ""a0"": ""CC_a0"", ""Im"": ""CC_Im"", ""counts_output"": ""PD188""}","OPTPARW_L1","Photosynthetically Active Radiation (PAR) is the measure of the density of photons per unit area that are in the spectral range of light (400-700 nanometers) that primary producers use for photosynthesis. Units: µmol photons m-2 s-1","1","Science Data"
"193","temperature","counts","-9999999","Seawater Temperature Measurement",NULL,"0",NULL,NULL,"TEMPWAT_L0","Seawater temperature unprocessed measurement near the sensor. Units: counts","0","Unprocessed Data"
"194","conductivity","counts","-9999999","Seawater Conductivity Measurement",NULL,"0",NULL,NULL,"CONDWAT_L0","Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater, such as salt, increases the electrical conducting ability of seawater. As such, conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater. This is the unprocessed data that are output directly from the sensor which are then converted to salinity in S m-1. Units: counts","0","Unprocessed Data"
"195","pressure","counts","-9999999","Seawater Pressure Measurement",NULL,"0",NULL,NULL,"PRESWAT_L0","Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. This is the unprocessed data that are output directly from the sensor which are then converted to pressure in dbar. Units: counts","0","Unprocessed Data"
"196","pressure_temp","counts","-9999999","Seawater Pressure Measurement",NULL,"0",NULL,NULL,NULL,"Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. This is the unprocessed data that are output directly from the sensor which are then converted to pressure in dbar. Units: counts",NULL,NULL
"197","oxygen","counts","-9999999","DO Measurement",NULL,"0",NULL,NULL,"DOCONCS-CNT_L0","Dissolved Oxygen (DO) unprocessed measurement from the Stable Response Dissolved Oxygen Instrument. Units: counts",NULL,NULL
"198","ctd_time","seconds since 2000-01-01","-9999999","Time, UTC",NULL,"0",NULL,NULL,NULL,"Time in seconds since 2000-01-01.",NULL,NULL
"199","pump_current","mA","-9999999","Pump Current",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"200","ext_v01_current","mA","-9999999","Current From External Voltage Sensors 0 & 1",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"201","serial_current","mA","-9999999","Auxiliary Serial Instrument Current",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"202","logging_status","1","empty","Logging Status Category",NULL,"0",NULL,NULL,NULL,"{0:'not logging', 1:'logging', 2:'waiting to start at ...', 3:'unknown',-99:'empty'}",NULL,NULL
"203","num_samples","counts","-9999","Number of Samples",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"204","mem_free","bytes","-9999","Available Memory",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"205","sample_interval","s","-9999","Sampling Interval",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"211","battery_cutoff","V","-9999999","Battery Cutoff Voltage",NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL
"212","pressure_sensor_type","1","empty","Pressure Sensor Type Category",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"213","sbe38","1","-9","External SBE38 Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"215","wetlabs","1","-9","External Wetlabs Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"216","optode","1","-9","External Optode Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"217","gas_tension_device","1","-9","External Gas Tension Device Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"218","ext_volt_0","1","-9","External Voltage 0 Sensor Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"219","ext_volt_1","1","-9","External Voltage 1 Sensor Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"220","ext_volt_2","1","-9","External Voltage 2 Sensor Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"221","ext_volt_3","1","-9","External Voltage 3 Sensor Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"222","ext_volt_4","1","-9","External Voltage 4 Sensor Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"223","ext_volt_5","1","-9","External Voltage 5 Sensor Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"224","echo_characters","1","-9","Echo Characters Flag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"225","output_format","1","empty","Data Output Format Category",NULL,"0",NULL,NULL,NULL,"The output format of the data sample record.  The set of values is: 'raw Hex', 'converted Hex', 'raw decimal', 'converted decimal', or 'converted XML UVIC'",NULL,NULL
"229","temp_coeff_offset","1","-9999999","Temperature Coefficient Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"231","press_coeff_pa0","1","-9999999","Pressure Coefficient PA0",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"232","press_coeff_pa1","1","-9999999","Pressure Coefficient PA1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"233","press_coeff_pa2","1","-9999999","Pressure Coefficient PA2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"234","press_coeff_ptempa0","1","-9999999","Pressure Coefficient PTempA0",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"235","press_coeff_ptempa1","1","-9999999","Pressure Coefficient PTempA1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"236","press_coeff_ptempa2","1","-9999999","Pressure Coefficient PTempA2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"237","press_coeff_ptca0","1","-9999999","Pressure Coefficient PTCA0",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"238","press_coeff_ptca1","1","-9999999","Pressure Coefficient PTCA1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"239","press_coeff_ptca2","1","-9999999","Pressure Coefficient PTCA2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"240","press_coeff_ptcb0","1","-9999999","Pressure Coefficient PTCB0",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"241","press_coeff_ptcb1","1","-9999999","Pressure Coefficient PTCB1",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"242","press_coeff_ptcb2","1","-9999999","Pressure Coefficient PTCB2",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"243","ext_volt0_slope","1","-9999999","External Voltage Sensor 0 Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"244","ext_volt0_offset","1","-9999999","External Voltage Sensor 0 Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"245","ext_volt1_slope","1","-9999999","External Voltage Sensor 1 Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"246","ext_volt1_offset","1","-9999999","External Voltage Sensor 1 Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"247","ext_volt2_slope","1","-9999999","External Voltage Sensor 2 Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"248","ext_volt2_offset","1","-9999999","External Voltage Sensor 2 Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"249","ext_volt3_slope","1","-9999999","External Voltage Sensor 3 Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"250","ext_volt3_offset","1","-9999999","External Voltage Sensor 3 Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"251","ext_volt4_slope","1","-9999999","External Voltage Sensor 4 Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"252","ext_volt4_offset","1","-9999999","External Voltage Sensor 4 Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"253","ext_volt5_slope","1","-9999999","External Voltage Sensor 5 Slope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"254","ext_volt5_offset","1","-9999999","External Voltage Sensor 5 Offset",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"255","ext_freq_sf","1","-9999999","External Frequency Channel",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"256","press_coeff_pslope","1","-9999999","Pressure Coefficient Pslope",NULL,"6",NULL,NULL,NULL,NULL,NULL,NULL
"257","temp_sensor_serial_number","1","empty","Temperature Sensor Serial Number",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"258","cond_sensor_serial_number","1","empty","Conductivity Sensor Serial Number",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"259","command_set_version","1","-9999999","Command Set Version",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"261","assembly_number","1","empty","PC Board Assembly Number",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"263","num_events","counts","-9999999","Number of Events",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"264","samples_free","counts","-9999999","Number of Samples Free",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"265","sample_length","bytes","-9999999","Bytes Per Sample",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"267","output_executed_tag","1","-9","Output Executed Tag",NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL
"268","set_timeout","ms","-9999999","Set Timeout",NULL,"0",NULL,NULL,NULL,"Not determined at this time",NULL,NULL
"269","set_timeout_max","ms","-9999999","Set Timeout, Max",NULL,"0",NULL,NULL,NULL,"Not determined at this time",NULL,NULL
"270","set_timeout_icd","ms","-9999999","Set Timeout ICD",NULL,"0",NULL,NULL,NULL,"Not determined at this time",NULL,NULL
"271","reference_oscillator_freq","Hz","-9999999","Reference Oscillator Frequency",NULL,"3",NULL,NULL,NULL,"Acquisition oscillator frequency",NULL,NULL
"272","pcb_thermistor_value","counts","-9999999","PCB Thermistor Value",NULL,"0",NULL,NULL,NULL,"Printed Circuit Board (PCB) thermistor value",NULL,NULL
"273","reference_error","ppm","-9999999","Reference Error",NULL,"3",NULL,NULL,NULL,"Deviation of oscillator frequency from current calibration settings",NULL,NULL
"274","device_type","1","empty","Device Type",NULL,"0",NULL,NULL,NULL,"Sea-Bird device type, will always be 'SBE54'",NULL,NULL
"275","calibration_date_acq_crystal","1","empty","Calibration Date, Acquisition Crystal",NULL,"0",NULL,NULL,NULL,"Acquisition crystal calibration date string",NULL,NULL
"276","acq_crystal_coeff_fra0","1","-9999999","Acq Crystal Coeff Fra0",NULL,"6",NULL,NULL,NULL,"Acquisition crystal frequency A0",NULL,NULL
"277","acq_crystal_coeff_fra1","1","-9999999","Acq Crystal Coeff Fra1",NULL,"6",NULL,NULL,NULL,"Acquisition crystal frequency A1",NULL,NULL
"278","acq_crystal_coeff_fra2","1","-9999999","Acq Crystal Coeff Fra2",NULL,"6",NULL,NULL,NULL,"Acquisition crystal frequency A2",NULL,NULL
"279","acq_crystal_coeff_fra3","1","-9999999","Acq Crystal Coeff Fra3",NULL,"6",NULL,NULL,NULL,"Acquisition crystal frequency A3",NULL,NULL
"280","pressure_sensor_serial_number","1","empty","Pressure Sensor Serial Number",NULL,"0",NULL,NULL,NULL,"Digiquartz pressure sensor serial number",NULL,NULL
"281","pressure_sensor_range","psi","-9999999","Pressure Sensor Range",NULL,"0",NULL,NULL,NULL,"Pressure sensor full scale range",NULL,NULL
"282","battery_type","1","-99","Battery Type",NULL,"0",NULL,NULL,NULL,"Event type of battery (0 = Lithium, 1 = Alkaline)",NULL,NULL
"283","baud_rate","Bd","-9999999","Baud Rate",NULL,"0",NULL,NULL,NULL,"Serial communications baud rate.",NULL,NULL
"284","enable_alerts","1","-99","Enable Alerts",NULL,"0",NULL,NULL,NULL,"Enable output alerts (0 = Do not output alerts, 1 = Output alerts)",NULL,NULL
