id,name,unit,fill_value,display_name,standard_name,parameter_precision,parameter_function_id,parameter_function_map,data_product_identifier,description,data_level,data_product_type
121,battery_voltage_main,V,,Main Battery Voltage,,1,,,,Main battery voltage,ENG,Engineering
122,battery_voltage_lithium,V,,Lithium Battery Voltage,,1,,,,Lithium back-up battery voltage,ENG,Engineering
158,calibration_date_pressure,1,,Pressure Calibration Date,,0,,,,Date on which the pressure sensor was calibrated.,ENG,Engineering
159,press_coeff_pu0,1,,Pressure Coefficient U0,,6,,,,Pressure sensor calibration coefficient U0,ENG,Engineering
160,press_coeff_py1,1,,Pressure Coefficient Y1,,6,,,,Pressure sensor calibration coefficient Y1,ENG,Engineering
161,press_coeff_py2,1,,Pressure Coefficient Y2,,6,,,,Pressure sensor calibration coefficient Y2,ENG,Engineering
162,press_coeff_py3,1,,Pressure Coefficient Y3,,6,,,,Pressure sensor calibration coefficient Y3,ENG,Engineering
163,press_coeff_pc1,1,,Pressure Coefficient C1,,6,,,,Pressure sensor calibration coefficient C1,ENG,Engineering
164,press_coeff_pc2,1,,Pressure Coefficient C2,,11,,,,Pressure sensor calibration coefficient C2,ENG,Engineering
165,press_coeff_pc3,1,,Pressure Coefficient C3,,10,,,,Pressure sensor calibration coefficient C3,ENG,Engineering
166,press_coeff_pd1,1,,Pressure Coefficient D1,,8,,,,Pressure sensor calibration coefficient D1,ENG,Engineering
167,press_coeff_pd2,1,,Pressure Coefficient D2,,6,,,,Pressure sensor calibration coefficient D2,ENG,Engineering
168,press_coeff_pt1,1,,Pressure Coefficient T1,,6,,,,Pressure sensor calibration coefficient T1,ENG,Engineering
169,press_coeff_pt2,1,,Pressure Coefficient T2,,10,,,,Pressure sensor calibration coefficient T2,ENG,Engineering
170,press_coeff_pt3,1,,Pressure Coefficient T3,,12,,,,Pressure sensor calibration coefficient T3,ENG,Engineering
171,press_coeff_pt4,1,,Pressure Coefficient T4,,15,,,,Pressure sensor calibration coefficient T4,ENG,Engineering
174,press_coeff_poffset,psi,,Pressure Coefficient Offset,,6,,,,,ENG,Engineering
175,calibration_date_temperature,1,,Temperature Calibration Date,,0,,,,,ENG,Engineering
176,temp_coeff_ta0,counts,,Temperature Coefficient A0,,9,,,,,ENG,Engineering
177,temp_coeff_ta1,counts,,Temperature Coefficient A1,,10,,,,,ENG,Engineering
178,temp_coeff_ta2,counts,,Temperature Coefficient A2,,13,,,,,ENG,Engineering
179,temp_coeff_ta3,counts,,Temperature Coefficient A3,,13,,,,,ENG,Engineering
180,calibration_date_conductivity,1,,Conductivity Calibration Date,,0,,,,,ENG,Engineering
181,cond_coeff_cg,counts,,Conductivity Coefficient G,,7,,,,,ENG,Engineering
182,cond_coeff_ch,counts,,Conductivity Coefficient H,,7,,,,,ENG,Engineering
183,cond_coeff_ci,counts,,Conductivity Coefficient I,,10,,,,,ENG,Engineering
184,cond_coeff_cj,counts,,Conductivity Coefficient J,,11,,,,,ENG,Engineering
185,cond_coeff_ctcor,counts,,Conductivity Coefficient TCor,,12,,,,,ENG,Engineering
186,cond_coeff_cpcor,counts,,Conductivity Coefficient PCor,,14,,,,,ENG,Engineering
187,cond_coeff_cslope,counts,,Conductivity Coefficient Slope,,6,,,,,ENG,Engineering
188,par,counts,,PAR Measurement,,0,,,OPTPARW,Photosynthetically Active Radiation (PAR) unprocessed sensor reading. Units: counts,L0,Science
192,par_counts_output,umol photons m-2 s-1,,Photosynthetically Active Radiation,downwelling_photosynthetic_photon_flux_in_sea_water,4,,,OPTPARW,Photosynthetically Active Radiation (PAR) is the measure of the total photon flux between 400-700 nanometers that primary producers use for photosynthesis. Units: umol photons m-2 s-1,L1,Science
193,temperature,counts,,Seawater Temperature Measurement,,0,,,TEMPWAT,Seawater temperature unprocessed measurement near the sensor. Units: counts,L0,Science
194,conductivity,counts,,Seawater Conductivity Measurement,,0,,,CONDWAT,Seawater conductivity refers to the ability of seawater to conduct electricity. The presence of ions in the seawater- such as salt- increases the electrical conducting ability of seawater. As such- conductivity can be used as a proxy for determining the quantity of salt in a sample of seawater. This is the unprocessed data that are output directly from the sensor which are then converted to salinity in S m-1. Units: counts,L0,Science
195,pressure,counts,,Seawater Pressure Measurement,,0,,,PRESWAT,Seawater Pressure refers to the pressure exerted on a sensor in situ by the weight of the column of seawater above it. It is calculated by subtracting one standard atmosphere from the absolute pressure at the sensor to remove the weight of the atmosphere on top of the water column. The pressure at a sensor in situ provides a metric of the depth of that sensor. This is the unprocessed data that are output directly from the sensor which are then converted to pressure in dbar. Units: counts,L0,Science
196,pressure_temp,counts,,Pressure Sensor Thermistor Measurement,,0,,,TEMPCTD,Pressure Sensor Thermistor is used for temperature-compensating the pressure sensor. The L0 product is in counts and the temperature compensation voltage is calculated by dividing this parameter by 13107.,L0,Science
197,oxygen,counts,,Dissolved Oxygen Measurement,,0,,,DOCONCS-CNT,Dissolved Oxygen unprocessed measurement from the Stable Response Dissolved Oxygen (DOSTA) Instrument.  Units: counts,L0,Science
198,ctd_time,seconds since 2000-01-01,,Time - UTC,,0,,,,Time in seconds since 2000-01-01.,ENG,Engineering
199,pump_current,mA,,Pump current,,1,,,,,ENG,Engineering
200,ext_v01_current,mA,,Current from External Voltage Sensors 0 & 1,,1,,,,,ENG,Engineering
201,serial_current,mA,,Auxiliary Serial Instrument Current,,1,,,,,ENG,Engineering
202,logging_status,1,,Logging Status Category,,0,,,,{0:'not logging'- 1:'logging'- 2:'waiting to start at ...'- 3:'unknown'- -99:'empty'},ENG,Engineering
203,num_samples,counts,,Number of Samples,,0,,,,Number of samples in memory.,ENG,Engineering
204,mem_free,bytes,,Available Memory,,0,,,,Available space in memory,ENG,Engineering
205,sample_interval,s,,Sampling Interval,,0,,,,,ENG,Engineering
205,sample_interval ,s,,Sampling Interval,,0,,,,,ENG,Engineering
211,battery_cutoff,V,,Battery Cutoff Voltage,,1,,,,,ENG,Engineering
212,pressure_sensor_type,1,,Pressure Sensor Type Category,,0,,,,Category of internally mounted pressure sensor type,ENG,Engineering
213,sbe38,1,,External SBE38 Flag,,0,,,,SBE38 secondary temp sensor flag (Installed?: yes or no),ENG,Engineering
215,wetlabs,1,,External Wetlabs Flag,,0,,,,Wetlabs flag (Installed?: yes or no),ENG,Engineering
216,optode,1,,External Optode Flag,,0,,,,Optode flag (Installed?: yes or no),ENG,Engineering
217,gas_tension_device,1,,External Gas Tension Device Flag,,0,,,,Gas tension devices flag (Installed?: yes or no),ENG,Engineering
218,ext_volt_0,1,,External Voltage 0 Sensor Flag,,0,,,,Sample external voltage 0 flag (Enabled?: yes or no),ENG,Engineering
219,ext_volt_1,1,,External Voltage 1 Sensor Flag,,0,,,,Sample external voltage 1 flag (Enabled?: yes or no),ENG,Engineering
220,ext_volt_2,1,,External Voltage 2 Sensor Flag,,0,,,,Sample external voltage 2 flag (Enabled?: yes or no),ENG,Engineering
221,ext_volt_3,1,,External Voltage 3 Sensor Flag,,0,,,,Sample external voltage 3 flag (Enabled?: yes or no),ENG,Engineering
222,ext_volt_4,1,,External Voltage 4 Sensor Flag,,0,,,,Sample external voltage 4 flag (Enabled?: yes or no),ENG,Engineering
223,ext_volt_5,1,,External Voltage 5 Sensor Flag,,0,,,,Sample external voltage 5 flag (Enabled?: yes or no),ENG,Engineering
224,echo_characters,1,,Echo Characters Flag,,0,,,,Echo typed characters back flag (yes or no),ENG,Engineering
225,output_format,1,,Data Output Format Category,,0,,,,The output format of the data sample record.  The set of values is: 'raw Hex'- 'converted Hex'- 'raw decimal'- 'converted decimal'- or 'converted XML UVIC',ENG,Engineering
229,temp_coeff_offset,counts,,Temperature Coefficient Offset,,6,,,,,ENG,Engineering
231,press_coeff_pa0,counts,,Pressure Coefficient PA0,,8,,,,,ENG,Engineering
232,press_coeff_pa1,counts,,Pressure Coefficient PA1,,9,,,,,ENG,Engineering
233,press_coeff_pa2,counts,,Pressure Coefficient PA2,,18,,,,,ENG,Engineering
234,press_coeff_ptempa0,1,,Pressure Coefficient PTempA0,,6,,,,,ENG,Engineering
235,press_coeff_ptempa1,1,,Pressure Coefficient PTempA1,,6,,,,,ENG,Engineering
236,press_coeff_ptempa2,1,,Pressure Coefficient PTempA2,,6,,,,,ENG,Engineering
237,press_coeff_ptca0,1,,Pressure Coefficient PTCA0,,6,,,,,ENG,Engineering
238,press_coeff_ptca1,1,,Pressure Coefficient PTCA1,,6,,,,,ENG,Engineering
239,press_coeff_ptca2,1,,Pressure Coefficient PTCA2,,6,,,,,ENG,Engineering
240,press_coeff_ptcb0,1,,Pressure Coefficient PTCB0,,6,,,,,ENG,Engineering
241,press_coeff_ptcb1,1,,Pressure Coefficient PTCB1,,6,,,,,ENG,Engineering
242,press_coeff_ptcb2,1,,Pressure Coefficient PTCB2,,6,,,,,ENG,Engineering
243,ext_volt0_slope,counts,,External Voltage Sensor 0 Slope,,6,,,,,ENG,Engineering
244,ext_volt0_offset,counts,,External Voltage Sensor 0 Offset,,8,,,,,ENG,Engineering
245,ext_volt1_slope,counts,,External Voltage Sensor 1 Slope,,6,,,,,ENG,Engineering
246,ext_volt1_offset,counts,,External Voltage Sensor 1 Offset,,8,,,,,ENG,Engineering
247,ext_volt2_slope,counts,,External Voltage Sensor 2 Slope,,6,,,,,ENG,Engineering
248,ext_volt2_offset,counts,,External Voltage Sensor 2 Offset,,8,,,,,ENG,Engineering
249,ext_volt3_slope,counts,,External Voltage Sensor 3 Slope,,6,,,,,ENG,Engineering
250,ext_volt3_offset,counts,,External Voltage Sensor 3 Offset,,8,,,,,ENG,Engineering
251,ext_volt4_slope,counts,,External Voltage Sensor 4 Slope,,6,,,,,ENG,Engineering
252,ext_volt4_offset,counts,,External Voltage Sensor 4 Offset,,8,,,,,ENG,Engineering
253,ext_volt5_slope,counts,,External Voltage Sensor 5 Slope,,6,,,,,ENG,Engineering
254,ext_volt5_offset,counts,,External Voltage Sensor 5 Offset,,8,,,,,ENG,Engineering
255,ext_freq_sf,counts,,External Frequency Channel,,7,,,,,ENG,Engineering
256,press_coeff_pslope,counts,,Pressure Coefficient pslope,,6,,,,,ENG,Engineering
257,temp_sensor_serial_number,counts,,Temperature Sensor Serial Number,,0,,,,,ENG,Engineering
258,cond_sensor_serial_number,counts,,Conductivity Sensor Serial Number,,0,,,,,ENG,Engineering
259,command_set_version,1,,Command Set Version,,0,,,,,ENG,Engineering
261,assembly_number,1,,PC Board Assembly Number,,0,,,,,ENG,Engineering
263,num_events,counts,,Number of Reset Events,,0,,,,,ENG,Engineering
264,samples_free,counts,,Number of Samples Free,,0,,,,Memory available in number of samples free,ENG,Engineering
265,sample_length,bytes,,Bytes per Sample,,0,,,,The byte length for each sample,ENG,Engineering
267,output_executed_tag,1,,Output Executed Tag flag,,0,,,,Output executed tag flag for Wetlabs device (yes or no),ENG,Engineering
268,set_timeout,ms,,Set Timeout,,0,,,,,ENG,Engineering
269,set_timeout_max,ms,,Set Timeout - Max,,0,,,,,ENG,Engineering
270,set_timeout_icd,ms,,Set Timeout ICD,,0,,,,,ENG,Engineering
271,reference_oscillator_freq,hz,,Reference Oscillator Frequency,,3,,,,Acquisition oscillator frequency,ENG,Engineering
272,pcb_thermistor_value,counts,,PCB Thermistor Value,,0,,,,Printed Circuit Board (PCB) thermistor value,ENG,Engineering
273,reference_error,ppm,,Reference Error,,3,,,,Deviation of oscillator frequency from current calibration settings,ENG,Engineering
274,device_type,1,,Device Type,,0,,,,Sea-Bird device type- will always be 'SBE54',ENG,Engineering
275,calibration_date_acq_crystal,1,,Calibration Date - Acquisition Crystal,,0,,,,Acquisition crystal calibration date string,ENG,Engineering
276,acq_crystal_coeff_fra0,1,,Acq Crystal Coeff Fra0,,6,,,,Acquisition crystal frequency A0,ENG,Engineering
277,acq_crystal_coeff_fra1,1,,Acq Crystal Coeff Fra1,,6,,,,Acquisition crystal frequency A1,ENG,Engineering
278,acq_crystal_coeff_fra2,1,,Acq Crystal Coeff Fra2,,6,,,,Acquisition crystal frequency A2,ENG,Engineering
279,acq_crystal_coeff_fra3,1,,Acq Crystal Coeff Fra3,,6,,,,Acquisition crystal frequency A3,ENG,Engineering
280,pressure_sensor_serial_number,counts,,Pressure Sensor Serial Number,,0,,,,Digiquartz pressure sensor serial number,ENG,Engineering
281,pressure_sensor_range,psi,,Pressure Sensor Range,,0,,,,Pressure sensor full scale range,ENG,Engineering
282,battery_type,1,,Battery Type,,0,,,,Type of battery (0 = Lithium- 1 = Alkaline),ENG,Engineering
283,baud_rate,Bd,,Baud Rate,,0,,,,Serial communications baud rate.,ENG,Engineering
284,enable_alerts,1,,Enable Alerts,,0,,,,Enable output alerts (0 = Do not output alerts- 1 = Output alerts),ENG,Engineering
285,upload_type,1,,Upload Type,,0,,,,Determine format of uploaded data (0 = Upload as ASCII text- 1 = Upload as binary data),ENG,Engineering
286,sample_period,s,,Sample Period,,0,,,,Duration of each pressure measurement,ENG,Engineering
288,event_count,count,,Event Count,,0,,,,Number of logged events,ENG,Engineering
289,bytes_used,1,,Bytes Used,,0,,,,Number of bytes stored in memory,ENG,Engineering
290,bytes_free,1,,Bytes Free,,0,,,,Number of additional bytes that can be stored in memory,ENG,Engineering
291,manufacturer,1,,Manufacturer,,0,,,,Instrument manufacturer,ENG,Engineering
293,firmware_date,1,,Firmware Date,,0,,,,Firmware date,ENG,Engineering
294,hardware_version,1,,Hardware Version,,0,,,,Hardware version,ENG,Engineering
295,pcb_serial_number,1,,PCB Serial Number,,0,,,,Printed Circuit Board (PCB) serial number,ENG,Engineering
296,pcb_type,1,,PCB Type,,0,,,,Event type of PCB,ENG,Engineering
297,manufacture_date,1,,Manufacture Date,,0,,,,Date of manufacture,ENG,Engineering
298,number_events,1,,Number Events,,0,,,,Sum of recorded events,ENG,Engineering
299,power_on_reset,1,,Power On Reset,,0,,,,Event type 'PowerOnReset',ENG,Engineering
300,power_fail_reset,1,,Power Fail Reset,,0,,,,Event type PowerFailReset,ENG,Engineering
302,serial_byte_error,1,,Serial Byte Error,,0,,,,Event type SerialByteErr,ENG,Engineering
303,command_buffer_overflow,1,,Command Buffer Overflow,,0,,,,Event type CmdBuffOflow,ENG,Engineering
304,serial_receive_overflow,1,,Serial Receive Overflow,,0,,,,Event type SerialRxOflow,ENG,Engineering
305,low_battery,1,,Low Battery,,0,,,,Event type LowBattery,ENG,Engineering
307,signal_error,1,,Signal Error,,0,,,,Event type SignalError,ENG,Engineering
308,error_10,1,,Error 10,,0,,,,Event type Error 10,ENG,Engineering
309,error_12,1,,Error 12,,0,,,,Event type Error 12,ENG,Engineering
310,frame_header,1,,Frame Header,,0,,,,Frame Header,ENG,Engineering
311,frame_type,1,,Frame Type,,0,,,,Frame types for a light measurement: Light or Dark,ENG,Engineering
312,serial_number,1,,Serial Number,,0,,,,Serial Number,ENG,Engineering
313,date_of_sample,1,,Date of Sample - UTC,,0,,,INSDATE,Sample date is in the format YYYYDDD using GMT/UTC as stored onboard the NUTNR instrument,ENG,Engineering
314,time_of_sample,h,,Time of Sample - UTC,,,,,INSTIME,Time of Sample in UTC/GMT given in decimal hours of the day as stored onboard the NUTNR instrument.,ENG,Engineering
315,nitrate_concentration,umol L-1,,Dissolved Nitrate Concentration,,,,,NITRDIS,Dissolved Nitrate Concentration uncorrected for temperature and salinity effects.,L1,Science
316,aux_fitting_1,1,,Aux Fitting 1 Result,,4,,,AUXFIT1,First auxiliary fitting result is QA/QC data for the NITRDIS core data product.,ENG,Engineering
317,aux_fitting_2,1,,Aux Fitting 2 Result,,4,,,AUXFIT2,Second auxiliary fitting result is QA/QC data for the NITRDIS core data product.,ENG,Engineering
318,aux_fitting_3,1,,Aux Fitting 3,,4,,,,Aux Fitting 3,AUX,Auxiliary
319,rms_error,umol L-1,,,,4,,,,,AUX,Auxiliary
320,temp_interior,deg_C,,Interior Housing Temperature,,4,,,INTTEMP,Temperature inside of the housing given in degrees C.,ENG,Engineering
321,temp_spectrometer,deg_C,,Spectrometer Temperature,,4,,,SPCTEMP,Temperature of the spectrometer given in degrees C.,ENG,Engineering
322,temp_lamp,deg_C,,Lamp Housing Temperature,,4,,,LMPTEMP,Temperature of the lamp housing given in degrees C.,ENG,Engineering
324,humidity,%,,Internal Housing Humidity,,4,,,INTHUMD,Instrument interior relative humidity.,ENG,Engineering
325,voltage_lamp,V,,Lamp Voltage,,4,,,LMPVOLT,Lamp power supply voltage,ENG,Engineering
326,voltage_analog,V,,Analog Voltage,,4,,,,Analog Voltage,AUX,Auxiliary
327,voltage_main,V,,Main Voltage,,4,,,MPSVOLT,Main power supply voltage.,ENG,Engineering
328,ref_channel_average,counts,,,,4,,,,,ENG,Engineering
329,ref_channel_variance,1,,,,4,,,,,ENG,Engineering
330,sea_water_dark,counts,,,,4,,,,,AUX,Auxiliary
331,spec_channel_average,counts,,,,4,,,,,ENG,Engineering
332,spectral_channels,counts,,UV Absorption Spectra,,0,,,NITROPT,UV Absorption Spectra is an array of values produced by the NUTNR instrument class and is based on the ultraviolet (UV) absorption characteristics of the components of seawater- including dissolved nitrate. Units: counts,L0,Science
333,checksum,1,,Data Checksum,,0,,,,Data Checksum,ENG,Engineering
334,startup_time,seconds since 1970-01-01,,Startup Time - UTC,,0,,,,Startup Time - UTC,ENG,Engineering
347,lamp_time,s,,Lamp Time,,0,,,LMPTIME,The cumulative time that the spectrometer lamp has been turned on (in seconds) since installation/replacement.,ENG,Engineering
348,spec_on_time,seconds since 1970-01-01,,Spec on time - UTC,,0,,,,Spec on time - UTC,ENG,Engineering
349,spec_powered_time,seconds since 1970-01-01,,Spec Powered Time - UTC,,0,,,,Spec Powered Time - UTC,ENG,Engineering
350,lamp_on_time,seconds since 1970-01-01,,Lamp On Time - UTC,,0,,,,Lamp On Time - UTC,ENG,Engineering
351,lamp_powered_time,seconds since 1970-01-01,,Lamp Powered Time - UTC,,0,,,,Lamp Powered Time - UTC,ENG,Engineering
352,data_log_file,1,,Data log file,,0,,,,Data log file,ENG,Engineering
353,unique_id,1,,Instrument Unique ID,,0,,,,A 1 byte hash of the SAMI name and calibration.,ENG,Engineering
354,record_length,1,,Record Length,,0,,,,A 1 byte value indicating the length of the record. Records can be up to 255 bytes long,ENG,Engineering
355,record_type,1,,Record Type,,0,,,,Record type,ENG,Engineering
356,record_time,seconds since 1904-01-01,,Record Time - UTC,,0,,,,Time of control record in seconds since January 1- 1904.,ENG,Engineering
357,light_measurements,counts,,Light Measurements,,0,,,,Light Measurements,ENG,Engineering
358,voltage_battery,counts,,Battery Voltage,,0,,,,Battery voltage in counts.,ENG,Engineering
359,thermistor_raw,V,,PCO2W Internal Thermistor Temperature Raw,,0,,,CO2THRM,PCO2W Thermistor Temperature refers to the internal instrument temperature of the pCO2 Water sensor- as measured by the thermistor (in volts). It is used to determine salinity and temperature dependent molar absorptivities in the seawater sample in order to make an accurate pCO2 in seawater estimation. Units: Volts,L0,Science
365,elapsed_time_config,s,,Elapsed Time Since Configuration,,0,,,,Elapsed time since the last read configuration command.,ENG,Engineering
366,clock_active,1,,Clock Active,,0,,,,Is the clock active?,ENG,Engineering
367,recording_active,1,,Recording Active,,0,,,,Is recording active?,ENG,Engineering
368,record_end_on_time,1,,Record End On Time,,0,,,,Not all time measurements collected.,ENG,Engineering
369,record_memory_full,1,,Record Memory Full,,0,,,,Recording memory is full?,ENG,Engineering
370,record_end_on_error,1,,Record End On Error,,0,,,,Recording failed or was aborted by user.,ENG,Engineering
371,data_download_ok,1,,Data Download Ok,,0,,,,Data downloaded?,ENG,Engineering
372,flash_memory_open,1,,Flash Memory Open,,0,,,,Is the flash memory open,ENG,Engineering
373,battery_low_prestart,1,,Battery Error Fatal,,0,,,,Battery low or missing before start,ENG,Engineering
374,battery_low_measurement,1,,Battery Low Measurement,,0,,,,Battery low during measurement cycle,ENG,Engineering
375,battery_low_bank,1,,Battery Low Bank,,0,,,,Battery low during bank cycle,ENG,Engineering
376,battery_low_external,1,,Battery Low External,,0,,,,Battery low while powering external devices,ENG,Engineering
377,external_device1_fault,1,,External Fault - Device 1,,0,,,,Device 1 external fault.,ENG,Engineering
378,flash_erased,1,,Flash Erased,,0,,,,Was the flash memory erased?,ENG,Engineering
379,power_on_invalid,1,,Power On Invalid,,0,,,,Power on flags invalid,ENG,Engineering
380,launch_time,seconds since 1904-01-01,,Launch Time - UTC,,0,,,,Launch time recorded in seconds since January 1- 1904,ENG,Engineering
381,start_time_offset,s,,Start Time Offset,,0,,,,Elapsed time between launch and start- in seconds.,ENG,Engineering
382,recording_time,s,,Recording Time,,0,,,,Elapsed time between start and stop- in seconds.,ENG,Engineering
383,pmi_sample_schedule,1,,PMI Sample Schedule,,0,,,,From configuration mode switch bits: bit 0,ENG,Engineering
384,sami_sample_schedule,1,,SAMI Sample Schedule,,0,,,,From configuration mode switch bits: bit 1,ENG,Engineering
385,slot1_follows_sami_sample,1,,Slot1 Follows SAMI Sample,,0,,,,From configuration mode switch bits: bit 2,ENG,Engineering
386,slot1_independent_schedule,1,,Slot1 Independent Schedule,,0,,,,From configuration mode switch bits: bit 3,ENG,Engineering
387,slot2_follows_sami_sample,1,,Slot2 Follows SAMI Sample,,0,,,,From configuration mode switch bits: bit 4,ENG,Engineering
388,slot2_independent_schedule,1,,Slot2 Independent Schedule,,0,,,,From configuration mode switch bits: bit 5,ENG,Engineering
389,slot3_follows_sami_sample,1,,Slot3 Follows SAMI Sample,,0,,,,From configuration mode switch bits: bit 6,ENG,Engineering
390,slot3_independent_schedule,1,,Slot3 Independent Schedule,,0,,,,From configuration mode switch bits: bit 7,ENG,Engineering
391,timer_interval_sami,s,,SAMI Sampling interval,,0,,,,SAMI Sampling interval,ENG,Engineering
392,driver_id_sami,1,,Driver Id SAMI,,0,,,,Driver Id SAMI,ENG,Engineering
393,parameter_pointer_sami,1,,Parameter Pointer SAMI,,0,,,,Pointer to SAMI parameters- starting at byte 78. SAMI is always 01- corresponding to byte 78.,ENG,Engineering
394,timer_interval_device1,s,,Device 1 sampling interval,,0,,,,Device 1 sampling interval,ENG,Engineering
395,driver_id_device1,1,,Driver Id Device 1,,0,,,,Driver Id Device 1,ENG,Engineering
396,parameter_pointer_device1,1,,Parameter Pointer Device 1,,0,,,,Parameter Pointer Device 1,ENG,Engineering
397,timer_interval_device2,s,,Device 2 sampling interval,,0,,,,Device 2 sampling interval,ENG,Engineering
398,driver_id_device2,1,,Driver Id Device 2,,0,,,,Driver Id Device 2,ENG,Engineering
399,parameter_pointer_device2,1,,Parameter Pointer Device 2,,0,,,,Parameter Pointer Device 2,ENG,Engineering
400,timer_interval_device3,s,,Device 3 sampling interval,,0,,,,Device 3 sampling interval,ENG,Engineering
401,driver_id_device3,1,,Driver Id Device 3,,0,,,,Driver Id Device 3,ENG,Engineering
402,parameter_pointer_device3,1,,Parameter Pointer Device 3,,0,,,,Parameter Pointer Device 3,ENG,Engineering
403,timer_interval_prestart,s,,Prestart sampling interval,,0,,,,Prestart sampling interval,ENG,Engineering
404,driver_id_prestart,1,,Driver Id Prestart,,0,,,,Driver Id Prestart,ENG,Engineering
405,parameter_pointer_prestart,1,,Parameter Pointer Prestart,,0,,,,Parameter Pointer Prestart,ENG,Engineering
406,use_baud_rate_57600,1,,Baud Rate,,0,,,,Use 57600 baud rate (true) or 9600 baud rate (false),ENG,Engineering
407,send_record_type,1,,Send Record Type Early,,0,,,,Send record (e.g. ^4) type before record.,ENG,Engineering
408,send_live_records,1,,Send Live Records,,0,,,,Send data out serial port when collected (real time),ENG,Engineering
409,extend_global_config,1,,Extend Global Config,,0,,,,Extend Global Config,ENG,Engineering
410,pump_pulse,s,,Pump Pulse,,0,,,,Pump pulse (seconds/16),ENG,Engineering
411,pump_on_to_measure,s,,Pump On To Measure,,0,,,,Pump on to measure (seconds/16),ENG,Engineering
412,samples_per_measure,counts,,Samples Per Measure,,0,,,,Number of samples per measurement,ENG,Engineering
413,cycles_between_blanks,counts,,Cycles Between Blanks,,0,,,,Cycles Between Blanks,ENG,Engineering
